Series;Time;Value
direction;2018-08-31 11:09:21;135
direction;2018-08-31 11:15:21;315
direction;2018-08-31 11:19:21;315
direction;2018-08-31 11:25:21;135
direction;2018-08-31 11:37:21;315
direction;2018-08-31 11:43:21;315
direction;2018-08-31 11:47:21;90
direction;2018-08-31 11:51:21;135
direction;2018-08-31 11:55:21;225
direction;2018-08-31 12:01:21;225
direction;2018-08-31 12:07:21;315
direction;2018-08-31 12:11:21;135
direction;2018-08-31 12:15:21;90
direction;2018-08-31 12:19:21;135
direction;2018-08-31 12:25:21;135
direction;2018-08-31 12:29:21;225
direction;2018-08-31 12:35:21;45
direction;2018-08-31 12:41:21;45
direction;2018-08-31 12:45:21;135
direction;2018-08-31 12:51:21;135
direction;2018-08-31 12:55:21;135
direction;2018-08-31 12:59:21;225
direction;2018-08-31 13:03:21;135
direction;2018-08-31 13:07:21;135
direction;2018-08-31 13:13:21;90
direction;2018-08-31 13:19:21;135
direction;2018-08-31 13:27:21;135
direction;2018-08-31 13:31:21;225
direction;2018-08-31 13:37:21;135
direction;2018-08-31 13:41:21;135
direction;2018-08-31 13:47:21;270
direction;2018-08-31 13:51:21;90
direction;2018-08-31 13:57:21;270
direction;2018-08-31 14:03:21;270
direction;2018-08-31 14:07:21;45
direction;2018-08-31 14:13:21;270
direction;2018-08-31 14:19:21;270
direction;2018-08-31 14:23:21;270
direction;2018-08-31 14:27:21;180
direction;2018-08-31 14:33:21;270
direction;2018-08-31 14:37:21;135
direction;2018-08-31 14:43:21;225
direction;2018-08-31 14:49:21;135
direction;2018-08-31 14:53:21;270
direction;2018-08-31 14:59:21;225
direction;2018-08-31 15:03:21;135
direction;2018-08-31 15:09:21;270
direction;2018-08-31 15:13:21;135
direction;2018-08-31 15:19:21;270
direction;2018-08-31 15:23:21;270
direction;2018-08-31 15:27:21;270
direction;2018-08-31 15:33:21;135
direction;2018-08-31 15:37:21;225
direction;2018-08-31 15:43:21;270
direction;2018-08-31 15:49:21;270
direction;2018-08-31 15:53:21;135
direction;2018-08-31 15:57:21;135
direction;2018-08-31 16:03:21;135
direction;2018-08-31 16:07:21;135
direction;2018-08-31 16:11:21;135
direction;2018-08-31 16:17:21;135
direction;2018-08-31 16:23:21;135
direction;2018-08-31 16:27:21;225
direction;2018-08-31 16:31:21;135
direction;2018-08-31 16:37:21;90
direction;2018-08-31 16:41:21;135
direction;2018-08-31 16:45:21;135
direction;2018-08-31 16:49:21;135
direction;2018-08-31 16:53:21;270
direction;2018-08-31 16:59:21;270
direction;2018-08-31 17:05:21;90
direction;2018-08-31 17:09:21;135
direction;2018-08-31 17:15:21;135
direction;2018-08-31 17:19:21;225
direction;2018-08-31 17:25:21;135
direction;2018-08-31 17:31:21;270
direction;2018-08-31 17:35:21;270
direction;2018-08-31 17:39:21;270
direction;2018-08-31 17:45:21;90
direction;2018-08-31 17:51:21;90
direction;2018-08-31 17:57:21;135
direction;2018-08-31 18:03:21;270
direction;2018-08-31 18:09:21;270
direction;2018-08-31 18:13:21;270
direction;2018-08-31 18:17:21;135
direction;2018-08-31 18:23:21;135
direction;2018-08-31 18:27:21;135
direction;2018-08-31 18:31:21;270
direction;2018-08-31 18:37:21;180
direction;2018-08-31 18:43:21;270
direction;2018-08-31 18:49:21;90
direction;2018-08-31 18:55:21;135
direction;2018-08-31 19:01:21;180
direction;2018-08-31 19:05:21;270
direction;2018-08-31 19:11:21;270
direction;2018-08-31 19:17:21;270
direction;2018-08-31 19:21:21;225
direction;2018-08-31 19:27:21;225
direction;2018-08-31 19:33:21;225
direction;2018-08-31 19:39:21;270
direction;2018-08-31 19:43:21;315
