"time","conc","wdir","wspeed","minute","hour","dow","wos"
2018-09-01 00:05:00,0.7036,NA,NA,5,0,"Saturday","1"
2018-09-01 00:10:00,0.6485,270,0.360000014305,10,0,"Saturday","1"
2018-09-01 00:15:00,0.72725,135,0.140000000596,15,0,"Saturday","1"
2018-09-01 00:20:00,0.7355,270,0.540000021458,20,0,"Saturday","1"
2018-09-01 00:25:00,0.63975,90,0.10000000149,25,0,"Saturday","1"
2018-09-01 00:30:00,0.6075,135,0.109999999404,30,0,"Saturday","1"
2018-09-01 00:35:00,0.675,90,0.620000004768,35,0,"Saturday","1"
2018-09-01 00:40:00,0.5784,270,0.319999992847,40,0,"Saturday","1"
2018-09-01 00:45:00,0.5735,NA,NA,45,0,"Saturday","1"
2018-09-01 00:50:00,0.60575,270,0.0800000000745,50,0,"Saturday","1"
2018-09-01 00:55:00,0.5555,NA,NA,55,0,"Saturday","1"
2018-09-01 01:00:00,0.55175,270,0.600000023842,60,1,"Saturday","1"
2018-09-01 01:05:00,0.5545,135,0.219999998808,65,1,"Saturday","1"
2018-09-01 01:10:00,0.5755,135,0.340000003576,70,1,"Saturday","1"
2018-09-01 01:15:00,0.617,135,0,75,1,"Saturday","1"
2018-09-01 01:20:00,0.52675,270,0.639999985695,80,1,"Saturday","1"
2018-09-01 01:25:00,0.495,90,0.460000008345,85,1,"Saturday","1"
2018-09-01 01:30:00,0.51275,270,0.7700000107285,90,1,"Saturday","1"
2018-09-01 01:35:00,0.601,NA,NA,95,1,"Saturday","1"
2018-09-01 01:40:00,0.4605,135,0.469999998808,100,1,"Saturday","1"
2018-09-01 01:45:00,0.44625,225,0.379999995232,105,1,"Saturday","1"
2018-09-01 01:50:00,0.538,180,0.0799999982119,110,1,"Saturday","1"
2018-09-01 01:55:00,0.5474,135,0.819999992847,115,1,"Saturday","1"
2018-09-01 02:00:00,0.4455,135,0.5,120,2,"Saturday","1"
2018-09-01 02:05:00,0.44675,135,0.639999985695,125,2,"Saturday","1"
2018-09-01 02:10:00,0.4375,135,0.340000003576,130,2,"Saturday","1"
2018-09-01 02:15:00,0.456,270,0.620000004768,135,2,"Saturday","1"
2018-09-01 02:20:00,0.55175,135,0.259999990463,140,2,"Saturday","1"
2018-09-01 02:25:00,0.53425,135,0,145,2,"Saturday","1"
2018-09-01 02:30:00,0.53125,45,0.0599999986589,150,2,"Saturday","1"
2018-09-01 02:35:00,0.4998,270,0.019999999553,155,2,"Saturday","1"
2018-09-01 02:40:00,0.45325,135,0.360000014305,160,2,"Saturday","1"
2018-09-01 02:45:00,0.45375,135,0.439999997616,165,2,"Saturday","1"
2018-09-01 02:50:00,0.47375,135,0.219999998808,170,2,"Saturday","1"
2018-09-01 02:55:00,0.47175,135,0.879999995232,175,2,"Saturday","1"
2018-09-01 03:00:00,0.50825,135,0.259999990463,180,3,"Saturday","1"
2018-09-01 03:05:00,0.561,135,0.20000000298,185,3,"Saturday","1"
2018-09-01 03:10:00,0.482,135,0.4099999926985,190,3,"Saturday","1"
2018-09-01 03:15:00,0.4814,NA,NA,195,3,"Saturday","1"
2018-09-01 03:20:00,0.47875,270,0.02999999932945,200,3,"Saturday","1"
2018-09-01 03:25:00,0.49875,135,0.0399999991059,205,3,"Saturday","1"
2018-09-01 03:30:00,0.48425,135,0.660000026226,210,3,"Saturday","1"
2018-09-01 03:35:00,0.4785,225,0.140000000596,215,3,"Saturday","1"
2018-09-01 03:40:00,0.4685,135,0.20000000298,220,3,"Saturday","1"
2018-09-01 03:45:00,0.439,90,0.019999999553,225,3,"Saturday","1"
2018-09-01 03:50:00,0.43625,90,0,230,3,"Saturday","1"
2018-09-01 03:55:00,0.4406,270,0,235,3,"Saturday","1"
2018-09-01 04:00:00,0.48025,270,0.300000011921,240,4,"Saturday","1"
2018-09-01 04:05:00,0.55175,225,0.019999999553,245,4,"Saturday","1"
2018-09-01 04:10:00,0.47,135,0,250,4,"Saturday","1"
2018-09-01 04:15:00,0.4705,270,0.10000000149,255,4,"Saturday","1"
2018-09-01 04:20:00,0.4315,270,0.380000002682,260,4,"Saturday","1"
2018-09-01 04:25:00,0.48525,NA,NA,265,4,"Saturday","1"
2018-09-01 04:30:00,0.4325,135,0.079999998212,270,4,"Saturday","1"
2018-09-01 04:35:00,0.4718,270,0,275,4,"Saturday","1"
2018-09-01 04:40:00,0.421,270,0,280,4,"Saturday","1"
2018-09-01 04:45:00,0.4265,90,0.0599999986589,285,4,"Saturday","1"
2018-09-01 04:50:00,0.47925,270,0.519999980927,290,4,"Saturday","1"
2018-09-01 04:55:00,0.42275,180,0.019999999553,295,4,"Saturday","1"
2018-09-01 05:00:00,0.4315,135,0.860000014305,300,5,"Saturday","1"
2018-09-01 05:05:00,0.45,NA,NA,305,5,"Saturday","1"
2018-09-01 05:10:00,0.476,270,0.239999994636,310,5,"Saturday","1"
2018-09-01 05:15:00,0.4855,225,0,315,5,"Saturday","1"
2018-09-01 05:20:00,0.493,270,0.019999999553,320,5,"Saturday","1"
2018-09-01 05:25:00,0.47925,270,0.10000000149,325,5,"Saturday","1"
2018-09-01 05:30:00,0.51725,135,0.0599999986589,330,5,"Saturday","1"
2018-09-01 05:35:00,0.57825,270,0,335,5,"Saturday","1"
2018-09-01 05:40:00,0.6596,90,0.0799999982119,340,5,"Saturday","1"
2018-09-01 05:45:00,0.84375,270,0.159999996424,345,5,"Saturday","1"
2018-09-01 05:50:00,0.6635,135,0.140000000596,350,5,"Saturday","1"
2018-09-01 05:55:00,0.63475,135,0.10000000149,355,5,"Saturday","1"
2018-09-01 06:00:00,0.71925,135,0.0399999991059,360,6,"Saturday","1"
2018-09-01 06:05:00,0.614,225,0.379999995232,365,6,"Saturday","1"
2018-09-01 06:10:00,0.688,135,0.620000004768,370,6,"Saturday","1"
2018-09-01 06:15:00,0.76625,135,0.340000003576,375,6,"Saturday","1"
2018-09-01 06:20:00,0.8502,135,0,380,6,"Saturday","1"
2018-09-01 06:25:00,0.648,135,0.460000008345,385,6,"Saturday","1"
2018-09-01 06:30:00,0.757,135,0,390,6,"Saturday","1"
2018-09-01 06:35:00,0.886,90,0,395,6,"Saturday","1"
