"time","dow","conc","minute","hour"
2018-09-15 01:00:00,"Sunday",0.584686875,60,1
2018-09-15 02:00:00,"Sunday",0.495885,120,2
2018-09-15 03:00:00,"Sunday",0.466728367346939,180,3
2018-09-15 04:00:00,"Sunday",0.420426632653061,240,4
2018-09-15 05:00:00,"Sunday",0.426243469387755,300,5
2018-09-15 06:00:00,"Sunday",0.519668775510204,360,6
2018-09-15 07:00:00,"Sunday",0.657995,420,7
2018-09-15 08:00:00,"Sunday",0.68907181372549,480,8
2018-09-15 09:00:00,"Sunday",0.821388418367347,540,9
2018-09-15 10:00:00,"Sunday",0.923581544617847,600,10
2018-09-15 11:00:00,"Sunday",0.932364387755102,660,11
2018-09-15 12:00:00,"Sunday",0.807356314866372,720,12
2018-09-15 13:00:00,"Sunday",0.895688148148148,780,13
2018-09-15 14:00:00,"Sunday",0.920773553421369,840,14
2018-09-15 15:00:00,"Sunday",0.947406428571429,900,15
2018-09-15 16:00:00,"Sunday",0.888797418967587,960,16
2018-09-15 17:00:00,"Sunday",0.936145,1020,17
2018-09-15 18:00:00,"Sunday",1.17600786514606,1080,18
2018-09-15 19:00:00,"Sunday",1.47405,1140,19
2018-09-15 20:00:00,"Sunday",1.70945214285714,1200,20
2018-09-15 21:00:00,"Sunday",1.53340928571429,1260,21
2018-09-15 22:00:00,"Sunday",1.28876204081633,1320,22
2018-09-15 23:00:00,"Sunday",1.01343102040816,1380,23
2018-09-16 00:00:00,"Sunday",0.716930102040816,0,0
2018-09-15 01:00:00,"Monday",0.562294795918367,60,1
2018-09-15 02:00:00,"Monday",0.471703979591837,120,2
2018-09-15 03:00:00,"Monday",0.42451387755102,180,3
2018-09-15 04:00:00,"Monday",0.387795,240,4
2018-09-15 05:00:00,"Monday",0.384780816326531,300,5
2018-09-15 06:00:00,"Monday",0.417168979591837,360,6
2018-09-15 07:00:00,"Monday",0.569224897959184,420,7
2018-09-15 08:00:00,"Monday",0.776486224489796,480,8
2018-09-15 09:00:00,"Monday",1.12063836734694,540,9
2018-09-15 10:00:00,"Monday",1.30014,600,10
2018-09-15 11:00:00,"Monday",1.14370704081633,660,11
2018-09-15 12:00:00,"Monday",1.14838857142857,720,12
2018-09-15 13:00:00,"Monday",1.17578642857143,780,13
2018-09-15 14:00:00,"Monday",1.03397826530612,840,14
2018-09-15 15:00:00,"Monday",1.08868,900,15
2018-09-15 16:00:00,"Monday",1.11274571428571,960,16
2018-09-15 17:00:00,"Monday",1.21014653061224,1020,17
2018-09-15 18:00:00,"Monday",1.22686448979592,1080,18
2018-09-15 19:00:00,"Monday",1.62453928571429,1140,19
2018-09-15 20:00:00,"Monday",1.70504906887755,1200,20
2018-09-15 21:00:00,"Monday",1.67883071428571,1260,21
2018-09-15 22:00:00,"Monday",1.49111,1320,22
2018-09-15 23:00:00,"Monday",1.20783857142857,1380,23
2018-09-16 00:00:00,"Monday",0.886746326530612,0,0
2018-09-15 01:00:00,"Tuesday",0.603575102040816,60,1
2018-09-15 02:00:00,"Tuesday",0.511250816326531,120,2
2018-09-15 03:00:00,"Tuesday",0.456703673469388,180,3
2018-09-15 04:00:00,"Tuesday",0.41270612244898,240,4
2018-09-15 05:00:00,"Tuesday",0.399455918367347,300,5
2018-09-15 06:00:00,"Tuesday",0.488254591836735,360,6
2018-09-15 07:00:00,"Tuesday",0.63266612244898,420,7
2018-09-15 08:00:00,"Tuesday",0.833249387755102,480,8
2018-09-15 09:00:00,"Tuesday",1.08402908163265,540,9
2018-09-15 10:00:00,"Tuesday",1.43416704081633,600,10
2018-09-15 11:00:00,"Tuesday",1.34248765306122,660,11
2018-09-15 12:00:00,"Tuesday",1.1700037755102,720,12
2018-09-15 13:00:00,"Tuesday",1.23749336734694,780,13
2018-09-15 14:00:00,"Tuesday",1.17879897959184,840,14
2018-09-15 15:00:00,"Tuesday",1.13530897959184,900,15
2018-09-15 16:00:00,"Tuesday",1.179309375,960,16
2018-09-15 17:00:00,"Tuesday",1.24436969387755,1020,17
2018-09-15 18:00:00,"Tuesday",1.41396173469388,1080,18
2018-09-15 19:00:00,"Tuesday",1.63304142857143,1140,19
2018-09-15 20:00:00,"Tuesday",1.7922293877551,1200,20
2018-09-15 21:00:00,"Tuesday",1.81571173469388,1260,21
2018-09-15 22:00:00,"Tuesday",1.73675357142857,1320,22
2018-09-15 23:00:00,"Tuesday",1.23884749891446,1380,23
2018-09-16 00:00:00,"Tuesday",0.74873493797519,0,0
2018-09-15 01:00:00,"Wednesday",0.57023,60,1
2018-09-15 02:00:00,"Wednesday",0.520136530612245,120,2
2018-09-15 03:00:00,"Wednesday",0.47959387755102,180,3
2018-09-15 04:00:00,"Wednesday",0.427922040816327,240,4
2018-09-15 05:00:00,"Wednesday",0.454534285714286,300,5
2018-09-15 06:00:00,"Wednesday",0.482764128401361,360,6
2018-09-15 07:00:00,"Wednesday",0.653437040816327,420,7
2018-09-15 08:00:00,"Wednesday",0.820775714285714,480,8
2018-09-15 09:00:00,"Wednesday",1.04152562111801,540,9
2018-09-15 10:00:00,"Wednesday",1.10927957057823,600,10
2018-09-15 11:00:00,"Wednesday",1.11167076830732,660,11
2018-09-15 12:00:00,"Wednesday",1.04673173469388,720,12
2018-09-15 13:00:00,"Wednesday",1.16275387755102,780,13
2018-09-15 14:00:00,"Wednesday",1.12141357142857,840,14
2018-09-15 15:00:00,"Wednesday",1.09828663265306,900,15
2018-09-15 16:00:00,"Wednesday",1.03995765306122,960,16
2018-09-15 17:00:00,"Wednesday",1.08268744897959,1020,17
2018-09-15 18:00:00,"Wednesday",1.23625729166667,1080,18
2018-09-15 19:00:00,"Wednesday",1.24826489795918,1140,19
