"Time","day","Concentrations","type"
2018-09-15 00:30:00,"Sunday",0.582576,"5% Quantile"
2018-09-15 00:30:00,"Sunday",0.636775416666667,"mean"
2018-09-15 00:30:00,"Sunday",0.707236416666667,"95% Quantile"
2018-09-15 00:30:00,"Monday",0.435178166666667,"5% Quantile"
2018-09-15 00:30:00,"Monday",0.609344166666667,"mean"
2018-09-15 00:30:00,"Monday",0.820924,"95% Quantile"
2018-09-15 00:30:00,"Tuesday",0.471452,"5% Quantile"
2018-09-15 00:30:00,"Tuesday",0.65366,"mean"
2018-09-15 00:30:00,"Tuesday",0.93482,"95% Quantile"
2018-09-15 00:30:00,"Wednesday",0.576438,"5% Quantile"
2018-09-15 00:30:00,"Wednesday",0.61563,"mean"
2018-09-15 00:30:00,"Wednesday",0.638232,"95% Quantile"
2018-09-15 00:30:00,"Thursday",0.522364,"5% Quantile"
2018-09-15 00:30:00,"Thursday",0.592802916666667,"mean"
2018-09-15 00:30:00,"Thursday",0.648993916666667,"95% Quantile"
2018-09-15 00:30:00,"Friday",0.539391666666667,"5% Quantile"
2018-09-15 00:30:00,"Friday",0.574882916666667,"mean"
2018-09-15 00:30:00,"Friday",0.60294775,"95% Quantile"
2018-09-15 00:30:00,"Saturday",0.577036,"5% Quantile"
2018-09-15 00:30:00,"Saturday",0.67996,"mean"
2018-09-15 00:30:00,"Saturday",0.84706,"95% Quantile"
2018-09-15 01:00:00,"Sunday",0.500176,"5% Quantile"
2018-09-15 01:00:00,"Sunday",0.532598333333333,"mean"
2018-09-15 01:00:00,"Sunday",0.564878333333333,"95% Quantile"
2018-09-15 01:00:00,"Monday",0.398538,"5% Quantile"
2018-09-15 01:00:00,"Monday",0.51488375,"mean"
2018-09-15 01:00:00,"Monday",0.65634025,"95% Quantile"
2018-09-15 01:00:00,"Tuesday",0.430974,"5% Quantile"
2018-09-15 01:00:00,"Tuesday",0.552225416666667,"mean"
2018-09-15 01:00:00,"Tuesday",0.712208416666667,"95% Quantile"
2018-09-15 01:00:00,"Wednesday",0.495381,"5% Quantile"
2018-09-15 01:00:00,"Wednesday",0.52334,"mean"
2018-09-15 01:00:00,"Wednesday",0.5450375,"95% Quantile"
2018-09-15 01:00:00,"Thursday",0.426352,"5% Quantile"
2018-09-15 01:00:00,"Thursday",0.509380833333333,"mean"
2018-09-15 01:00:00,"Thursday",0.588518833333333,"95% Quantile"
2018-09-15 01:00:00,"Friday",0.465244,"5% Quantile"
2018-09-15 01:00:00,"Friday",0.50265,"mean"
2018-09-15 01:00:00,"Friday",0.550654,"95% Quantile"
2018-09-15 01:00:00,"Saturday",0.532003,"5% Quantile"
2018-09-15 01:00:00,"Saturday",0.566561666666667,"mean"
2018-09-15 01:00:00,"Saturday",0.589274,"95% Quantile"
2018-09-15 01:30:00,"Sunday",0.451138,"5% Quantile"
2018-09-15 01:30:00,"Sunday",0.508031666666667,"mean"
2018-09-15 01:30:00,"Sunday",0.562309666666667,"95% Quantile"
2018-09-15 01:30:00,"Monday",0.393704,"5% Quantile"
2018-09-15 01:30:00,"Monday",0.48501625,"mean"
2018-09-15 01:30:00,"Monday",0.61415125,"95% Quantile"
2018-09-15 01:30:00,"Tuesday",0.41832175,"5% Quantile"
2018-09-15 01:30:00,"Tuesday",0.52489875,"mean"
2018-09-15 01:30:00,"Tuesday",0.64119,"95% Quantile"
2018-09-15 01:30:00,"Wednesday",0.523965,"5% Quantile"
2018-09-15 01:30:00,"Wednesday",0.544930416666667,"mean"
2018-09-15 01:30:00,"Wednesday",0.56898575,"95% Quantile"
2018-09-15 01:30:00,"Thursday",0.444364,"5% Quantile"
2018-09-15 01:30:00,"Thursday",0.486194583333333,"mean"
2018-09-15 01:30:00,"Thursday",0.51677675,"95% Quantile"
